Case Number,Title,Settlement Amount,Date,Link
Case No. 0:09-cv-14316,"Papermoon Strip Club to Pay $95,000 to Settle EEOC Race Discrimination Lawsuit","$95,000 ",10-07-2010,https://www.eeoc.gov/newsroom/papermoon-strip-club-pay-95000-settle-eeoc-race-discrimination-lawsuit
Case No. 09-cv-01888-GMN-PAL,"Vegas Western Cab to Pay $30,000 for Rejecting a Disabled Applicant in EEOC Suit","$30,000 ",10-07-2010,https://www.eeoc.gov/newsroom/vegas-western-cab-pay-30000-rejecting-disabled-applicant-eeoc-suit
Case No. 8:08-cv-1883,"Bardon, Inc. / Aggregate Industries to Pay $325,000 to Settle Sexual Harassment/Retaliation Suit","$325,000 ",10-06-2010,https://www.eeoc.gov/newsroom/bardon-inc-aggregate-industries-pay-325000-settle-sexual-harassmentretaliation-suit
Case No. 09-cv-01681-MSS-GJK,"Orlando Magazine Distributor to Pay $162,400 to Settle EEOC Sexual Harassment Lawsuit","$162,400 ",10-04-2010,https://www.eeoc.gov/newsroom/orlando-magazine-distributor-pay-162400-settle-eeoc-sexual-harassment-lawsuit
Case No. 1:07-cv-02964,"Area Temps Agrees to Pay $650,000 for Profiling Applicants by Race, Sex, National Origin and Age","$650,000 ",07-27-2010,https://www.eeoc.gov/newsroom/area-temps-agrees-pay-650000-profiling-applicants-race-sex-national-origin-and-age
Case No. 09-cv-01811-CCC,"Knouse Foods Agrees to Pay $300,000 To Settle EEOC Harassment and Retaliation Lawsuit","$300,000 ",07-26-2010,https://www.eeoc.gov/newsroom/knouse-foods-agrees-pay-300000-settle-eeoc-harassment-and-retaliation-lawsuit
Case No. 06-cv-00353-CRS,"Louisville Marriott Managing Company to Pay $40,000 to Settle EEOC Religious Discrimination Suit","$40,000 ",07-21-2010,https://www.eeoc.gov/newsroom/louisville-marriott-managing-company-pay-40000-settle-eeoc-religious-discrimination-suit
Case No. 5:09-cv-0233,"Terminix Agrees to Pay $80,000 to Settle EEOC Pregnancy Discrimination Lawsuit","$80,000 ",07-07-2010,https://www.eeoc.gov/newsroom/terminix-agrees-pay-80000-settle-eeoc-pregnancy-discrimination-lawsuit
Case No. 3:09-cv-00108,"Plastics Molding Companies to Pay $190,000 to Settle EEOC Sexual Harassment Lawsuit","$190,000 ",06-21-2010,https://www.eeoc.gov/newsroom/plastics-molding-companies-pay-190000-settle-eeoc-sexual-harassment-lawsuit
Case No. 08-cv-02563-CCB,"Community College of Baltimore County to Pay $50,000 to Settle EEOC Age Discrimination Suit and Employee's Retaliation Claims","$50,000 ",06-21-2010,https://www.eeoc.gov/newsroom/community-college-baltimore-county-pay-50000-settle-eeoc-age-discrimination-suit-and
Case No. 1:09-cv-2060,"Yuma Oak Tree Inn to Pay $75,000 to Settle EEOC Religious Discrimination Lawsuit","$75,000 ",06-15-2010,https://www.eeoc.gov/newsroom/yuma-oak-tree-inn-pay-75000-settle-eeoc-religious-discrimination-lawsuit
Case No. (Case No. C-08-4552-CW),"Harley Davidson Dealership to Pay $55,000 to Settle EEOC Sex Discrimination and Retaliation Suit","$55,000 ",06-07-2010,https://www.eeoc.gov/newsroom/harley-davidson-dealership-pay-55000-settle-eeoc-sex-discrimination-and-retaliation-suit
Case No. 1:09-cv-10399,"National Denture Provider to Pay $150,000 to Settle EEOC Sex and Race Harassment Suit","$150,000 ",06-02-2010,https://www.eeoc.gov/newsroom/national-denture-provider-pay-150000-settle-eeoc-sex-and-race-harassment-suit
Case No. 4:08-cv-112,"Meridian, Mississippi Nursing Home  to Pay $40,000 to Settle Discrimination Lawsuit","$40,000 ",05-03-2010,https://www.eeoc.gov/newsroom/meridian-mississippi-nursing-home-pay-40000-settle-discrimination-lawsuit
Case No. 1:09-cv-0160,Alabama KFC Owner to Pay More than $1 Million to Settle EEOC Sexual Harassment Suit,$1 Million,04-15-2010,https://www.eeoc.gov/newsroom/alabama-kfc-owner-pay-more-1-million-settle-eeoc-sexual-harassment-suit
Case No. 08-cv-00731-SOW,"Imagine Schools to Pay $570,000 to Settle EEOC Pregnancy Discrimination Lawsuit","$570,000 ",03-18-2010,https://www.eeoc.gov/newsroom/imagine-schools-pay-570000-settle-eeoc-pregnancy-discrimination-lawsuit
Case No. 09-cv-02881-BEL,"Administaff to Pay $115,000 for Religious Bias","$115,000 ",03-17-2010,https://www.eeoc.gov/newsroom/staff-pay-115000-religious-bias
Case No. 09-cv-02048-MJD-JJG,"White Way Cleaners to Pay $42,250 to Settle EEOC Pregnancy Discrimination Suit","$42,250 ",03-16-2010,https://www.eeoc.gov/newsroom/white-way-cleaners-pay-42250-settle-eeoc-pregnancy-discrimination-suit
Case No. 09-cv-02208-JPM-,"U.S. / Titan Concrete to Pay $135,000 to Settle EEOC National Origin, Age and Retaliation Lawsuit Against Subsidiary, Titan Concrete Industries","$135,000 ",03-11-2010,https://www.eeoc.gov/newsroom/us-titan-concrete-pay-135000-settle-eeoc-national-origin-age-and-retaliation-lawsuit
Case No. (Case No. CV 07-06169 SJO),"Landwin Management to Pay $500,000 for National Origin Bias and Sexual Harassment","$500,000 ",02-03-2010,https://www.eeoc.gov/newsroom/landwin-management-pay-500000-national-origin-bias-and-sexual-harassment
Case No. 08-cv-02621-BBD-,"Memphis Goodwill Agrees to Pay $105,000 to Settle  EEOC Race Bias and Retaliation Lawsuit","$105,000 ",01-22-2010,https://www.eeoc.gov/newsroom/memphis-goodwill-agrees-pay-105000-settle-eeoc-race-bias-and-retaliation-lawsuit
Case No. 2:07-cv-2620,"Race, LLC / Studsvik to Pay $650,000 to Settle EEOC Racial Harassment & Retaliation Suit","$650,000 ",12-31-2009,https://www.eeoc.gov/newsroom/race-llc-studsvik-pay-650000-settle-eeoc-racial-harassment-retaliation-suit
Case No. 4:08-cv-558,"City of North Richland Hills to Pay $75,000 to Settle Age Discrimination Suit","$75,000 ",12-15-2009,https://www.eeoc.gov/newsroom/city-north-richland-hills-pay-75000-settle-age-discrimination-suit
Case No. Civil Action 08-1592,"Ruby Tuesday Will Pay $255,000 to Settle EEOC Sexual Harassment Lawsuit Involving Teens","$255,000 ",11-03-2009,https://www.eeoc.gov/newsroom/ruby-tuesday-will-pay-255000-settle-eeoc-sexual-harassment-lawsuit-involving-teens
Case No. 08-cv-00397-BSJ,"Tim Dahle Nissan to Pay $455,000 for Sexual Harassment and Retaliation","$455,000 ",10-29-2009,https://www.eeoc.gov/newsroom/tim-dahle-nissan-pay-455000-sexual-harassment-and-retaliation
Case No. 1:08-cv-02271,"SFS Intec to Pay $245,000 to Settle EEOC National Origin Bias Suit","$245,000 ",10-27-2009,https://www.eeoc.gov/newsroom/sfs-intec-pay-245000-settle-eeoc-national-origin-bias-suit
Case No. 06-cv-01251-OWW-GSA,"Mental Health Rehab Center to Pay $145,000 to Settle Sexual Harassment and Retaliation Suit","$145,000 ",10-21-2009,https://www.eeoc.gov/newsroom/mental-health-rehab-center-pay-145000-settle-sexual-harassment-and-retaliation-suit
Case No. (Case No. 01-10082-CIV-PAINE),"Three Florida Employers to Pay Total of $570,000 for Unlawful Retaliation, in EEOC Settlements","$570,000 ",03-18-2003,https://www.eeoc.gov/newsroom/three-florida-employers-pay-total-570000-unlawful-retaliation-eeoc-settlements-0
